month,day,question_text,playlist_id
1,1,Quelle est votre mission dans la vie ?,1
1,2,Les gens peuvent-ils évoluer ?,1
1,3,Que lisez-vous en ce moment ?,1
1,4,Le meilleur moment de cette journée ?,1
1,5,Dans quel restaurant êtes-vous allé dernièrement ?,1
1,6,La journée a-t-elle été difficile ? Pourquoi ?,1
1,7,Vous avez de la chance... Pourquoi ou pourquoi pas ?,1
1,8,La chanson qui tourne en boucle dans votre tête ?,1
1,9,Une journée ordinaire ? Pourquoi ou pourquoi pas ?,1
1,10,Quelque chose qui vous a marqué aujourd'hui ?,1
1,11,"Aujourd'hui, qu'avez-vous perdu ?",1
1,12,Votre accessoire préféré ?,1
1,13,La destination idéale de votre prochain voyage ?,1
1,14,Plutôt maître ou disciple ?,1
1,15,Comment était le déjeuner aujourd'hui ?,1
1,16,Devez-vous de l'argent à quelqu'un ? Quelqu'un vous en doit-il ?,1
1,17,La plus vieille chose que vous portez aujourd'hui ?,1
1,18,En quoi la journée a-t-elle été douce ?,1
1,19,Trois aliments que vous avez mangés aujourd'hui ?,1
1,20,Une rancœur persistante ? À quel propos ?,1
1,21,Qu'attendez-vous avez impatience ?,1
1,22,Vous cherchez plutôt la sécurité ou l'aventure ?,1
1,23,Besoin d'une petite pause ? Qu'est-ce qui vous épuise,1
1,24,"Si vous deviez créer votre propre entreprise, quel serait son objet ?",1
1,25,Qu'est ce qui fait que vous êtes vous ?,1
1,26,De quoi auriez-vous le plus besoin ?,1
1,27,Le mouvement artistique qui vous décrirait le mieux à ce jour ? Surréalisme ? Modernisme ? Dadaïsme ?,1
1,28,"Comment décririez-vous votre ""chez vous"" ?",1
1,29,La dernière émission télé que vous ayez regardé ?,1
1,30,Que voudriez-vous oublier ?,1
1,31,Qui voudriez-vous être ?,1
2,1,Votre résolution pour demain ?,1
2,2,Avec qui vivez-vous ?,1
2,3,Un petit coup de mou ? Grand comment ? Et pourquoi ?,1
2,4,Quel temps fait-il ?,1
2,5,Le morceau que vous écoutez constamment ?,1
2,6,À la recherche de la plénitude ou de l'exaltation ?,1
2,7,Trois choses à acheter ?,1
2,8,Amoureux ?,1
2,9,À quelle heure vous êtes-vous endormi ?,1
2,10,"Si cette journée était un animal, quel serait-il ?",1
2,11,Comment êtes-vous allé travaillé aujourd'hui ?,1
2,12,Aujourd'hui qu'est-ce qui vous empêche le plus d'avancer ?,1
2,13,La question que vous adorez poser ?,1
2,14,Avez-vous embrassé quelqu'un aujourd'hui ?,1
2,15,Quel remède pour un cœur brisé ?,1
2,16,Le dernier spectacle auquel vous ayez assisté ?,1
2,17,"Si vous pouviez changer quelque chose à cette journée, ce serait...",1
2,18,La chose la plus chère que vous portez en ce moment ?,1
2,19,La personne la plus folle de votre entourage ?,1
2,20,De quel mot avez-vous abusé aujourd'hui ?,1
2,21,Le mot tendance du moment ?,1
2,22,L'émotion persistante de ce jour ?,1
2,23,L'achat le moins avouable de votre relevé bancaire ?,1
2,24,Qu'avez-vous de trop ?,1
2,25,Le dernier rêve dont vous vous souvenez ?,1
2,26,Une chose dont vous ne pouvez pas vous passer ?,1
2,27,Vous préférez les orignaux ou les remix ? Pourquoi ?,1
2,28,Un peu malade dernièrement ?,1
2,29,"Tiens, une année bissextile... Qu'avez-vous fait de cette journée supplémentaire ?",1
3,1,En quoi cette journée était perfectible ?,1
3,2,Sucré ou salé ?,1
3,3,"Étiez-vous seul dans votre lit, hier soir ?",1
3,4,Qu'aimeriez-vous demander à votre mère ?,1
3,5,Votre mot favori ?,1
3,6,Qui est votre ennemie juré ?,1
3,7,Une expérience à ne pas tenter ?,1
3,8,La dernière chanson que vous ayez écoutée ?,1
3,9,Quelqu'un que vous auriez préféré ne pas voir aujourd'hui ?,1
3,10,Le dernier film loué ?,1
3,11,"Une chose dont vous avez rêvé aujourd'hui, sans pouvoir l'obtenir ?",1
3,12,Où habitez-vous ?,1
3,13,"Si vous disposiez d'une heure de plus dans la journée, qu'en feriez-vous ?",1
3,14,Qu'est ce qui est vrai ?,1
3,15,De quoi préféreriez-vous éviter de parler ?,1
3,16,Que voudriez-vous acheter ?,1
3,17,Une expérience inédite ?,1
3,18,Votre spiritualité en trois mots ?,1
3,19,Votre éthique professionelle ?,1
3,20,Le dernier livre que vous avez lu ?,1
3,21,La première chose que vous avez avalée aujourd'hui ?,1
3,22,Petit reportage tiré de la journée qui vient de s'écouler...,1
3,23,"Plutôt country ou rock'n'roll (à moins que ce soit hip-hop, folk punk...) ?",1
3,24,L'objet de vos rêveries du jour ?,1
3,25,Quelque chose qui vous a fait rire ?,1
3,26,À qui aimeriez-vous ressembler ?,1
3,27,La dernière fois que vous vous êtes senti au top ?,1
3,28,Quel souvenir conserver de la journée écoulée ?,1
3,29,Quelques lignes d'une chanson ou d'un poème qui vous ressemble aujourd'hui ?,1
3,30,La couleur du jour ?,1
3,31,Les inventions dont vous ne sauriez vous passer ?,1
4,1,Auprès de qui faites-vous illusion ?,1
4,2,De qui vous sentez-vous le plus proche ?,1
4,3,Une bonne journée ? Pourquoi ?,1
4,4,"Si vous deviez faire un vœu à propos de cette journée, quel serait-il ?",1
4,5,"Ce qui est trop, trop bien dans la vie...",1
4,6,Un plat à emporter commandé dernièrement ?,1
4,7,Quelles couleurs portez-vous ?,1
4,8,Votre passion secrète ?,1
4,9,"Où vous sentez-vous ""chez vous"" ?",1
4,10,Une corvée dont vous vous êtes exempté aujourd'hui ?,1
4,11,Un bruit reflétant votre humeur de la journée ?,1
4,12,Qu'avez-vous appris récemment ?,1
4,13,Comment passer idéalement un dimanche matin ?,1
4,14,"Si vous pouviez aquérir un don (sans effort), que choisiriez-vous ?",1
4,15,Quel personnage célèbre aimeriez-vous interviewer ?,1
4,16,Un sujet politique qui vous intéresse ?,1
4,17,"Selon vous, quel est votre plus grand défaut ?",1
4,18,Un problème que vous avez résolu aujourd'hui...,1
4,19,Quelle célébrité aimeriez-vous réssuciter afin de dîner avec elle ?,1
4,20,Combien de gros mots aujourd'hui ?,1
4,21,"Qu'aimeriez-vous répondre à la question ""Que faites-vous dans la vie"" ?",1
4,22,Empêcher quelque chose... mais quoi ?,1
4,23,Que diraient de vous vos parents ?  (Vous pouvez les appeler pour leur demander !),1
4,24,La vie est-elle juste ? Oui ? Non ? Parfois ? Pas aujourd'hui ?,1
4,25,Qui devez-vous appeler ?,1
4,26,Combien d'argent avez-vous à dépenser ?,1
4,27,Quel genre de personne êtes-vous ?,1
4,28,"L'espace d'une journée, à la place de qui voudriez-vous être ?",1
4,29,Qui pourriez-vous rendre heureux ? Et comment ?,1
4,30,Trois mots pour décrire votre vie sociale ?,1
5,1,Plutôt bordélique ou ordonné ?,1
5,2,Des hésitations ?,1
5,3,un super-pouvoir à choisir pour la journée ?,1
5,4,De quand date votre dernière baignade ?,1
5,5,Le fou rire du jour ?,1
5,6,La dernière soirée en date ?,1
5,7,Qui pourrait tenir votre rôle dans un film sur votre vie ? Ce serait un bon film ?,1
5,8,Qui trouvez-vous mignon ?,1
5,9,Quelle tâche vous assomme ?,1
5,10,Par quoi avez-vous débuté la journée ?,1
5,11,De quoi voudriez-vous qu'on se souvienne à votre sujet ?,1
5,12,Qu'explorez-vous ?,1
5,13,"Qui vous aime, à ce jour ?",1
5,14,Les caractéristiques d'un bon ennemi ?,1
5,15,Votre plus belle réussite selon vous ?,1
5,16,Le meilleur jour de la semaine qui vient de s'écouler ?,1
5,17,Aujourd'hui vous vous êtes débarassé de...,1
5,18,"Si vous pouviez remonter le temps et changer quelque chose, que choisiriez-vous ?",1
5,19,La chose la plus créative que vous avez faite récemment ?,1
5,20,La chose la plus folle que vous avez faite par amour ?,1
5,21,Quel est votre salaire ?,1
5,22,De quand date votre dernière conversation intéressante ?,1
5,23,Votre coupe de cheveux ?,1
5,24,Qu'est-ce qui vous a motivé aujourd'hui ?,1
5,25,"Si demain vous pouviez partir n'importe où, où iriez-vous ?",1
5,26,La liste des soucis du jour ?,1
5,27,Qu'est-ce qui vous réconforte en ce moment ?,1
5,28,Plutôt Bretagne ou Côte d'Azur ? Entre les deux ?,1
5,29,"Si vous n'aviez aucune contrainte, que feriez-vous de votre journée ?",1
5,30,La meilleure lecture du jour ?,1
